cat,value,SOIL_ID,NDVI_MEAN,DEM_ADJ,ROUGH_MEAN,SLOPE_MEAN,SLOPE_VAR,PLANCURV,POU_WAM,R_Index,label,is_prototype,similarity,reliability_positive,reliability_negative
5018,7486,200,-0.227043602,0.814859879,0.017672008,0.144045079,15.13358914,0.832739358,-1.62443483,-0.008490375,0,0,0.406230826,0.406230826,0.593769174
2487,8033,510,-1.534588974,1.170523392,1.768071598,0.697228909,20.76930982,1.124662349,-0.150968433,-0.151592231,0,0,0.390010099,0.390010099,0.609989901
4257,5670,510,-2.261297336,1.78708175,0.640005261,1.046991932,17.20757376,-0.424067775,0.451322255,1.334951638,0,0,0.387472212,0.387472212,0.612527788
381,2405,191,-0.894669995,-1.559267047,-0.858862669,-1.686908397,11.99313696,1.285549273,1.996483107,-1.074749604,0,0,0.313087945,0.313087945,0.686912055
5248,7351,200,-0.874908114,0.935543399,0.142730344,-0.675608498,15.6439798,0.384293817,-0.096611883,0.9689572,0,0,0.376864632,0.376864632,0.623135368
2544,881,200,1.275811706,-0.320016638,1.187725698,1.093083582,19.03525752,-1.40594197,-0.924286128,-0.689274022,0,0,0.350097793,0.350097793,0.649902207
5254,7210,200,-0.519275333,0.905990663,1.015918023,-0.199535324,18.00708994,0.702919291,-0.654898239,4.117211208,0,0,0.271559078,0.271559078,0.728440922
4386,6561,200,-0.294391273,0.453863354,1.940058094,0.956249575,21.05955699,-0.538389002,-0.752093411,-0.014171363,0,0,0.340490179,0.340490179,0.659509821
1807,8928,200,1.302975951,0.278838845,-1.722412426,-1.464296238,8.661762389,0.031163466,-0.278485759,-0.453002471,0,0,0.384937847,0.384937847,0.615062153
4250,6460,200,0.843766278,0.239703998,0.818637558,0.412340855,17.75733092,-0.606466534,-0.824753552,-0.233243816,0,0,0.423125066,0.423125066,0.576874934
998,1246,200,-0.839866369,1.052169,-0.712666487,-0.491794418,12.51340306,-0.360105437,-0.048508631,2.221654272,0,0,0.353955215,0.353955215,0.646044785
3356,4725,510,0.657488334,-0.260750487,0.645966948,-0.136224769,16.8924954,1.411004678,1.043801942,0.026271871,0,0,0.384100052,0.384100052,0.615899948
197,2793,191,1.264063375,-0.27210513,1.254379587,1.657915102,19.09111816,-0.413986542,0.69929855,-0.781055941,0,0,0.430999023,0.430999023,0.569000977
1516,8834,200,0.621129128,0.084021752,-0.848147932,-0.922460649,12.12053575,0.320664939,0.677057797,0.737169218,0,0,0.433780512,0.433780512,0.566219488
3171,9238,200,0.970622785,0.010133223,0.350084584,0.47958471,16.19789012,-1.297743205,-1.453381219,0.096194943,0,0,0.368743495,0.368743495,0.631256505
1088,3116,191,0.716149235,-0.050573516,-1.166488132,-0.567364279,10.87387074,-1.011854841,-0.971458581,-0.036532018,0,0,0.27277208,0.27277208,0.72722792
3441,5018,510,-1.196314084,0.980692559,1.686793468,0.654198005,20.4857946,-2.228866652,0.556512532,2.428832487,0,0,0.286806318,0.286806318,0.713193682
2252,7988,510,-2.107582323,2.354709992,0.611568915,1.282808711,17.22383343,-0.88678677,0.170862679,0.60016557,0,0,0.33250049,0.33250049,0.66749951
209,199,200,-0.196212299,0.625322253,1.46282224,1.244694859,19.69711173,-0.997172667,-0.321126105,0.262188728,0,0,0.321331733,0.321331733,0.678668267
3739,5742,510,-1.475798037,1.177908974,0.77546948,1.803704861,17.30845122,0.150787187,0.480217901,0.200160149,0,0,0.396943454,0.396943454,0.603056546
487,324,200,-1.83006679,1.458598215,1.818960417,1.851426089,20.65839537,2.452737031,0.212732099,0.462631441,0,0,0.212730477,0.212730477,0.787269523
5339,9839,200,-0.70234798,1.098231404,-0.793470009,-1.281766791,12.35090023,-0.474897041,0.011298611,-0.029497253,0,0,0.386105003,0.386105003,0.613894997
1429,8832,200,0.546658631,0.146439855,-1.216186195,-1.562828429,10.50523947,0.54916808,-0.614826712,4.817534101,0,0,0.336167848,0.336167848,0.663832152
2295,7898,510,-1.082509973,1.293296534,0.540508891,0.519917169,16.90803711,0.791683957,-1.095703207,0.34882466,0,0,0.373671137,0.373671137,0.626328863
1753,8576,510,-1.885057176,1.688308257,-0.698606298,-0.759242359,12.24795696,-0.641099612,-0.391437202,1.465933836,0,0,0.268466088,0.268466088,0.731533912
1904,8367,200,-0.076893934,0.946858241,-1.580946936,-1.658113672,9.255424387,-1.238594496,-0.188994583,0.302893588,0,0,0.2953441,0.2953441,0.7046559
5537,10302,191,1.006343674,-0.499542872,-1.527615771,-2.953046234,9.29773368,-0.00236107,-0.203037162,1.062743305,0,0,0.406045232,0.406045232,0.593954768
482,327,200,-0.974023216,1.374095212,2.188844248,2.134648943,21.65836256,-1.755543212,0.963784268,1.07287351,0,0,0.084668891,0.084668891,0.915331109
3765,5423,510,-1.977500103,2.36108636,0.836957234,-0.922199018,17.73405868,0.700545336,0.261505314,1.819172302,0,0,0.302477492,0.302477492,0.697522508
4133,6216,510,-2.542205302,1.677302397,-0.990508937,-2.744215909,11.14282445,-0.063658586,-0.070676625,3.267515192,0,0,0.325363032,0.325363032,0.674636968
1062,8659,200,0.098925926,0.80870408,-1.570226987,-2.278766803,9.365457983,-0.639483712,0.506744319,0.243443288,0,0,0.370722614,0.370722614,0.629277386
1741,8578,491,-1.6124142,1.359551494,-1.569302443,-2.566847686,9.224698003,-1.204064263,0.267420828,1.600547387,0,0,0.187114968,0.187114968,0.812885032
5145,7270,200,-0.416207859,0.457594726,1.275302567,1.214453098,19.29106763,-1.155676699,-0.622456153,-0.568039031,0,0,0.34052467,0.34052467,0.65947533
735,1863,200,1.167087369,0.156342818,-0.261920423,1.035317297,14.35034234,1.467389297,-0.182809366,1.541995795,0,0,0.383928824,0.383928824,0.616071176
2700,8098,510,-1.624055977,1.94361024,1.318611721,2.293345015,19.25780282,-0.212874089,-0.090747121,-0.238492421,0,0,0.375148714,0.375148714,0.624851286
3116,5182,510,-1.697471883,1.169165889,0.425230983,-1.9482483,16.22455768,0.119750121,0.641796813,-1.144825569,0,0,0.42002442,0.42002442,0.57997558
2265,7737,200,-1.052398506,1.252095786,1.121733365,-0.07832512,18.41693263,1.112637508,-0.218799831,2.009477443,0,0,0.265487151,0.265487151,0.734512849
2977,4752,510,-0.871784223,0.692712374,0.264932182,1.547072724,15.82929052,-0.552572231,-0.879957115,-0.195608548,0,0,0.31436599,0.31436599,0.68563401
5436,7243,200,-0.960678854,1.077580543,0.24867088,-0.070763675,16.19386588,-0.678133178,-0.588328369,2.080305035,0,0,0.295831769,0.295831769,0.704168231
3019,5244,510,-1.790169473,1.723641365,1.001945377,-0.399813368,18.33546827,-0.114381979,0.263713836,1.692738928,0,0,0.376488151,0.376488151,0.623511849
3445,5896,200,0.204102022,0.041771206,1.827170256,0.928364465,20.72344567,-0.892521543,-0.778646536,-0.236956709,0,0,0.414494412,0.414494412,0.585505588
2511,711,200,0.870251328,-0.216270411,1.77851361,0.593055057,20.65372226,0.224058921,0.897060373,0.855854275,0,0,0.426604576,0.426604576,0.573395424
5583,9815,200,-0.7485949,0.991384282,-1.114036037,-0.921520448,11.14961135,0.315217038,-0.361577435,-0.283704788,0,0,0.364163334,0.364163334,0.635836666
4419,4403,200,1.171854664,0.030706145,-1.160416084,0.172844994,10.8447383,-0.957115513,-0.442526604,-0.442274447,0,0,0.390665696,0.390665696,0.609334304
1654,8547,200,-0.298077809,0.838156644,0.54005397,1.111020194,17.10708792,-0.773555707,0.060276915,-0.183987871,0,0,0.435570343,0.435570343,0.564429657
214,2815,191,0.988540691,-0.222964732,-1.061499838,-0.031777797,11.31767158,0.236259974,-0.323646141,1.036623683,0,0,0.41014476,0.41014476,0.58985524
4151,6388,200,-0.624869098,0.978804317,1.740879223,0.211052174,20.80773441,0.118627251,0.064480847,1.157133512,0,0,0.399733506,0.399733506,0.600266494
3874,5721,510,-0.917284156,1.159036495,2.19479177,2.595265698,20.24951779,-1.809218552,-0.437307823,-0.301175274,0,0,0.206711592,0.206711592,0.793288408
4165,5524,510,-2.089076758,1.67971566,-0.517499829,-1.009810162,13.20539872,-0.141327988,-0.617732162,0.102898853,0,0,0.408553827,0.408553827,0.591446173
